"","app_date","applicantID","Holiday","holiday_dummy","weekday","month"
"1",2018-11-21,52,"0",0,"4","11"
"2",2018-11-22,91,"0",0,"5","11"
"3",2018-11-23,64,"0",0,"6","11"
"4",2018-11-24,31,"0",0,"7","11"
"5",2018-11-25,31,"0",0,"1","11"
"6",2018-11-26,92,"0",0,"2","11"
"7",2018-11-27,74,"0",0,"3","11"
"8",2018-11-28,81,"0",0,"4","11"
"9",2018-11-29,62,"0",0,"5","11"
"10",2018-11-30,73,"0",0,"6","11"
"11",2018-12-01,40,"Presidential Inauguration Day",1,"7","12"
"12",2018-12-02,40,"0",0,"1","12"
"13",2018-12-03,113,"0",0,"2","12"
"14",2018-12-04,82,"0",0,"3","12"
"15",2018-12-05,74,"0",0,"4","12"
"16",2018-12-06,54,"0",0,"5","12"
"17",2018-12-07,53,"0",0,"6","12"
"18",2018-12-08,45,"Feast of the Immaculate Conception",1,"7","12"
"19",2018-12-09,20,"0",0,"1","12"
"20",2018-12-10,49,"0",0,"2","12"
"21",2018-12-11,51,"0",0,"3","12"
"22",2018-12-12,64,"Lady of Guadalupe Day",1,"4","12"
"23",2018-12-13,50,"0",0,"5","12"
"24",2018-12-14,61,"0",0,"6","12"
"25",2018-12-15,5,"0",0,"7","12"
"26",2018-12-16,2,"0",0,"1","12"
"27",2018-12-17,99,"0",0,"2","12"
"28",2018-12-18,73,"0",0,"3","12"
"29",2018-12-19,54,"0",0,"4","12"
"30",2018-12-20,70,"0",0,"5","12"
"31",2018-12-21,40,"0",0,"6","12"
"32",2018-12-22,35,"0",0,"7","12"
"33",2018-12-23,32,"0",0,"1","12"
"34",2018-12-24,64,"Christmas Eve",1,"2","12"
"35",2018-12-25,15,"Christmas Day",1,"3","12"
"36",2018-12-26,56,"0",0,"4","12"
"37",2018-12-27,65,"0",0,"5","12"
"38",2018-12-28,61,"0",0,"6","12"
"39",2018-12-29,53,"0",0,"7","12"
"40",2018-12-30,21,"0",0,"1","12"
"41",2018-12-31,41,"New Year's Eve",1,"2","12"
"42",2019-01-01,28,"New Year's Day",1,"3","1"
"43",2019-01-02,68,"0",0,"4","1"
"44",2019-01-03,57,"0",0,"5","1"
"45",2019-01-04,63,"0",0,"6","1"
"46",2019-01-05,49,"0",0,"7","1"
"47",2019-01-06,16,"0",0,"1","1"
"48",2019-01-07,47,"0",0,"2","1"
"49",2019-01-08,31,"0",0,"3","1"
"50",2019-01-09,44,"0",0,"4","1"
"51",2019-01-10,90,"0",0,"5","1"
"52",2019-01-11,86,"0",0,"6","1"
"53",2019-01-12,44,"0",0,"7","1"
"54",2019-01-13,34,"0",0,"1","1"
"55",2019-01-14,81,"0",0,"2","1"
"56",2019-01-15,67,"0",0,"3","1"
"57",2019-01-16,98,"0",0,"4","1"
"58",2019-01-17,69,"0",0,"5","1"
"59",2019-01-18,74,"0",0,"6","1"
"60",2019-01-19,38,"0",0,"7","1"
"61",2019-01-20,22,"0",0,"1","1"
"62",2019-01-21,78,"0",0,"2","1"
"63",2019-01-22,69,"0",0,"3","1"
"64",2019-01-23,68,"0",0,"4","1"
"65",2019-01-24,60,"0",0,"5","1"
"66",2019-01-25,67,"0",0,"6","1"
"67",2019-01-26,33,"0",0,"7","1"
"68",2019-01-27,24,"0",0,"1","1"
"69",2019-01-28,71,"0",0,"2","1"
"70",2019-01-29,86,"0",0,"3","1"
"71",2019-01-30,89,"0",0,"4","1"
"72",2019-01-31,109,"0",0,"5","1"
"73",2019-02-01,80,"0",0,"6","2"
"74",2019-02-02,40,"0",0,"7","2"
"75",2019-02-03,19,"0",0,"1","2"
"76",2019-02-04,65,"Constitution Day",1,"2","2"
"77",2019-02-05,69,"Constitution Day",1,"3","2"
"78",2019-02-06,105,"Day of Holy Kinds",1,"4","2"
"79",2019-02-07,81,"0",0,"5","2"
"80",2019-02-08,95,"0",0,"6","2"
"81",2019-02-09,53,"0",0,"7","2"
"82",2019-02-10,50,"0",0,"1","2"
"83",2019-02-11,89,"0",0,"2","2"
"84",2019-02-12,127,"0",0,"3","2"
"85",2019-02-13,89,"0",0,"4","2"
"86",2019-02-14,73,"0",0,"5","2"
"87",2019-02-15,113,"0",0,"6","2"
"88",2019-02-16,49,"0",0,"7","2"
"89",2019-02-17,38,"0",0,"1","2"
"90",2019-02-18,93,"0",0,"2","2"
"91",2019-02-19,62,"0",0,"3","2"
"92",2019-02-20,78,"0",0,"4","2"
"93",2019-02-21,106,"0",0,"5","2"
"94",2019-02-22,108,"0",0,"6","2"
"95",2019-02-23,67,"0",0,"7","2"
"96",2019-02-24,45,"0",0,"1","2"
"97",2019-02-25,111,"0",0,"2","2"
"98",2019-02-26,119,"0",0,"3","2"
"99",2019-02-27,149,"Carnival",1,"4","2"
"100",2019-02-28,145,"Carnival",1,"5","2"
"101",2019-03-01,116,"Carnival",1,"6","3"
"102",2019-03-02,50,"Carnival",1,"7","3"
"103",2019-03-03,61,"Carnival",1,"1","3"
"104",2019-03-04,105,"Carnival",1,"2","3"
"105",2019-03-05,107,"Fat Tuesday",1,"3","3"
"106",2019-03-06,104,"Ash Wednesday",1,"4","3"
"107",2019-03-07,79,"0",0,"5","3"
"108",2019-03-08,120,"0",0,"6","3"
"109",2019-03-09,55,"0",0,"7","3"
"110",2019-03-10,46,"0",0,"1","3"
"111",2019-03-11,126,"0",0,"2","3"
"112",2019-03-12,97,"0",0,"3","3"
"113",2019-03-13,62,"0",0,"4","3"
"114",2019-03-14,103,"0",0,"5","3"
"115",2019-03-15,148,"0",0,"6","3"
"116",2019-03-16,87,"0",0,"7","3"
"117",2019-03-17,53,"0",0,"1","3"
"118",2019-03-18,69,"Benito Juarez Day",1,"2","3"
"119",2019-03-19,138,"0",0,"3","3"
"120",2019-03-20,161,"0",0,"4","3"
"121",2019-03-21,96,"Benito Juarez Birthday",1,"5","3"
"122",2019-03-22,92,"0",0,"6","3"
"123",2019-03-23,65,"0",0,"7","3"
"124",2019-03-24,60,"0",0,"1","3"
"125",2019-03-25,120,"0",0,"2","3"
"126",2019-03-26,93,"0",0,"3","3"
"127",2019-03-27,68,"0",0,"4","3"
"128",2019-03-28,88,"0",0,"5","3"
"129",2019-03-29,134,"0",0,"6","3"
"130",2019-03-30,75,"0",0,"7","3"
"131",2019-03-31,54,"0",0,"1","3"
"132",2019-04-01,148,"0",0,"2","4"
"133",2019-04-02,104,"0",0,"3","4"
"134",2019-04-03,91,"0",0,"4","4"
"135",2019-04-04,103,"0",0,"5","4"
"136",2019-04-05,82,"0",0,"6","4"
"137",2019-04-06,47,"0",0,"7","4"
"138",2019-04-07,36,"0",0,"1","4"
"139",2019-04-08,71,"0",0,"2","4"
"140",2019-04-09,106,"0",0,"3","4"
"141",2019-04-10,86,"0",0,"4","4"
"142",2019-04-11,78,"0",0,"5","4"
"143",2019-04-12,91,"0",0,"6","4"
"144",2019-04-13,56,"0",0,"7","4"
"145",2019-04-14,35,"Palm Sunday",1,"1","4"
"146",2019-04-15,106,"0",0,"2","4"
"147",2019-04-16,96,"0",0,"3","4"
"148",2019-04-17,90,"0",0,"4","4"
"149",2019-04-18,33,"Holy Thursday",1,"5","4"
"150",2019-04-22,61,"0",0,"2","4"
"151",2019-04-23,35,"0",0,"3","4"
"152",2019-04-24,51,"0",0,"4","4"
"153",2019-04-25,41,"0",0,"5","4"
"154",2019-04-26,46,"0",0,"6","4"
"155",2019-04-27,28,"0",0,"7","4"
"156",2019-04-28,18,"0",0,"1","4"
"157",2019-04-29,55,"0",0,"2","4"
"158",2019-04-30,83,"0",0,"3","4"
"159",2019-05-01,43,"Labor Day",1,"4","5"
"160",2019-05-02,60,"0",0,"5","5"
"161",2019-05-03,59,"0",0,"6","5"
"162",2019-05-04,36,"0",0,"7","5"
"163",2019-05-05,23,"Anniversary of the Battle of Puebla",1,"1","5"
"164",2019-05-06,63,"0",0,"2","5"
"165",2019-05-07,33,"0",0,"3","5"
"166",2019-05-08,35,"0",0,"4","5"
"167",2019-05-09,37,"0",0,"5","5"
"168",2019-05-10,30,"Mother's Day",1,"6","5"
"169",2019-05-11,19,"0",0,"7","5"
"170",2019-05-12,7,"0",0,"1","5"
"171",2019-05-13,45,"0",0,"2","5"
"172",2019-05-14,35,"0",0,"3","5"
"173",2019-05-15,50,"Teacher's Day",1,"4","5"
"174",2019-05-16,44,"0",0,"5","5"
"175",2019-05-17,47,"0",0,"6","5"
"176",2019-05-18,22,"0",0,"7","5"
"177",2019-05-19,24,"0",0,"1","5"
"178",2019-05-20,60,"0",0,"2","5"
"179",2019-05-21,41,"0",0,"3","5"
"180",2019-05-22,28,"0",0,"4","5"
"181",2019-05-23,29,"0",0,"5","5"
"182",2019-05-24,36,"0",0,"6","5"
"183",2019-05-25,18,"0",0,"7","5"
"184",2019-05-26,13,"0",0,"1","5"
"185",2019-05-27,33,"0",0,"2","5"
"186",2019-05-28,18,"0",0,"3","5"
"187",2019-05-29,27,"0",0,"4","5"
"188",2019-05-30,22,"Ascension Day",1,"5","5"
"189",2019-05-31,39,"0",0,"6","5"
